{'ALG_BC_NB': 2375813, 'ALG_BC_WITH_SHAVING_NB': 119708, 'ALG_SHAVING_NB': 1699098, 'ALG_SHAVING_CHANGE_NB': 557007, 'ALG_SHAVING_NO_CHANGE_NB': 1142091, 'PROPAGATOR_ENTAILMENT_NB': 3733859, 'PROPAGATOR_FILTER_NB': 63857336, 'PROPAGATOR_FILTER_NO_CHANGE_NB': 21381370, 'PROPAGATOR_INCONSISTENCY_NB': 630380, 'SOLVER_BACKTRACK_NB': 1772470, 'SOLVER_CHOICE_NB': 46310, 'SOLVER_CHOICE_DEPTH': 31, 'SOLVER_SOLUTION_NB': 25}
         2171256980 function calls (2171249652 primitive calls) in 2682.249 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      938    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       56    0.000    0.000    0.002    0.000 _compiler.py:511(_compile_info)
       69    0.000    0.000    0.002    0.000 typing.py:694(Union)
      593    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1231    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      356    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1286    0.000    0.000    0.000    0.000 _parser.py:256(match)
      452    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      940    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
     1445    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       56    0.000    0.000    0.011    0.000 _compiler.py:740(compile)
      112    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
      246    0.000    0.000    0.000    0.000 __init__.py:389(__getattr__)
       96    0.000    0.000    0.000    0.000 decorators.py:26(jit)
    46/42    0.000    0.000    0.001    0.000 inspect.py:2491(_signature_from_callable)
       33    0.000    0.000    0.000    0.000 __init__.py:1611(findCaller)
      459    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      670    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      262    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      538    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     1154    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       39    0.000    0.000    0.001    0.000 typing.py:753(Literal)
       34    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
      728    0.000    0.000    0.000    0.000 _parser.py:176(append)
      293    0.000    0.000    0.000    0.000 typing.py:1196(__getattr__)
       33    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        6    0.000    0.000    0.000    0.000 ffi.py:190(__call__)
      935    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       41    0.000    0.000    0.002    0.000 overloads.py:23(decorator)
      496    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       33    0.000    0.000    0.000    0.000 {built-in method time.strftime}
      854    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      496    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      468    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      194    0.000    0.000    0.001    0.000 typing.py:1165(__init__)
        1    0.000    0.000 2682.248 2682.248 __main__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      843    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
      178    0.000    0.000    0.000    0.000 extending.py:62(overload)
      262    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      196    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      244    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    45/12    0.000    0.000    0.001    0.000 typing.py:1346(_make_substitution)
      327    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
      811    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      455    0.000    0.000    0.000    0.000 __init__.py:77(find_spec)
       25    0.000    0.000    0.000    0.000 solver.py:98(get_solution)
       99    0.000    0.000    0.000    0.000 __init__.py:200(_is_internal_frame)
       69    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      354    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
      215    0.000    0.000    0.000    0.000 cpu_options.py:131(__init__)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
       33    0.000    0.000    0.002    0.000 __init__.py:1529(info)
      455    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      582    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      207    0.000    0.000    0.000    0.000 typeconv.py:49(set_compatible)
       86    0.000    0.000    0.001    0.000 npydecl.py:314(register_numpy_ufunc)
      488    0.000    0.000    0.000    0.000 abstract.py:20(_autoincr)
       56    0.000    0.000    0.005    0.000 _parser.py:969(parse)
       32    0.000    0.000    0.000    0.000 typing.py:1065(_generic_class_getitem)
      112    0.000    0.000    0.002    0.000 templates.py:1267(decorate)
      194    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      935    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.001    0.001 models.py:1(<module>)
      168    0.000    0.000    0.000    0.000 templates.py:182(signature)
      313    0.000    0.000    0.000    0.000 function_base.py:488(_add_docstring)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      222    0.000    0.000    0.000    0.000 templates.py:1240(register)
      248    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      138    0.000    0.000    0.000    0.000 abstract.py:40(__init__)
      452    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       39    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
       45    0.000    0.000    0.000    0.000 compiler_machinery.py:419(make_festive)
      407    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      455    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
       45    0.000    0.000    0.000    0.000 compiler_machinery.py:436(_does_pass_name_alias)
      622    0.000    0.000    0.000    0.000 typing.py:1270(__eq__)
      313    0.000    0.000    0.000    0.000 function_base.py:470(_needs_add_docstring)
      463    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
       49    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
     1065    0.000    0.000    0.000    0.000 typing.py:1264(<genexpr>)
        7    0.000    0.000    0.000    0.000 typing.py:1740(_get_protocol_attrs)
       44    0.000    0.000    0.000    0.000 inspect.py:748(unwrap)
       33    0.000    0.000    0.001    0.000 __init__.py:1746(callHandlers)
        1    0.000    0.000    0.000    0.000 getlimits.py:164(_register_known_types)
      349    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       33    0.000    0.000    0.002    0.000 __init__.py:1660(_log)
